Task,Mean_MSE,Mean_Pearson
Task_126,1.6210302,0.5991478098731117
Task_127,1.8457493,0.5219563357913842
Task_128,2.993901,0.6192037314189208
Task_129,0.7098069,0.535368219438315
Task_130,2.148628,0.33366231224125364
Task_131,1.0405742,0.5733352293262378
Task_132,2.740424,0.4670101161655244
Task_133,0.87145394,0.5599109275405032
Task_134,2.3684704,0.544672602222566
Task_135,1.5518694,0.48564669082313666
Task_136,1.6083611,0.5715180166812238
Task_137,1.0394362,0.3879057272059241
Task_138,1.9300398,0.33866560682156993
Task_139,1.1348165,0.4645420807996656
Task_140,2.214558,0.6431236956449246
Task_141,1.632419,0.4242358289772313
Task_142,2.3223064,0.6505387635164105
Task_143,0.4964006,0.5705212731000625
Task_144,2.2177598,0.49871776120471667
Task_145,1.4108124,0.590148638749044
Task_146,0.8153129,0.568828281035795
Task_147,1.9514823,0.6069434272893904
Task_148,1.6723264,0.5625368744981253
Task_149,0.57407165,0.6056544892803681
Task_150,0.7469694,0.5058168361651605
Task_151,0.87355494,0.5462695907380491
Task_152,1.8089732,0.5046271948281941
Task_153,1.7209438,0.5019292357126437
Task_154,0.7518808,0.657657049264126
Task_155,2.9100425,0.5011369141775682
Task_156,0.59038675,0.5654477799429631
Task_157,1.6775422,0.527178885136762
Task_158,1.0308627,0.456543851349087
Task_159,1.7930425,0.537833435754691
Task_160,2.7975848,0.5369164575740967
Task_161,2.6448996,0.5447829222059984
Task_162,0.67675215,0.6060044272918225
Task_163,2.1281312,0.3571705329107134
Task_164,1.8157433,0.554728559295253
Task_165,1.155434,0.6135210043043434
Task_166,2.1728618,0.5593087595245647
Task_167,2.1202772,0.4366654352261761
Task_168,2.301858,0.5134526700343253
Task_169,4.0507092,0.6976926310495973
Task_170,2.050762,0.6004385300002659
Task_171,4.0804424,0.6478410868109237
Task_172,1.1131808,0.5261786436809551
Task_173,4.350035,0.4327310523491086
Task_174,2.5304177,0.6180453367290122
Task_175,1.4857689,0.6976708579153098
Task_176,2.234103,0.26612063682231585
Task_177,1.6534015,0.2179595046030999
Task_178,1.6674997,0.3272137406705397
Task_179,1.4146086,0.39080797863068373
Task_180,1.86693,0.6003955702641818
Task_181,1.3514951,0.4297863962538806
Task_182,1.4418601,0.3598881457574678
Task_183,1.0193328,0.5079531313936417
Task_184,3.0911674,0.25075689621697145
Task_185,1.609179,0.4599353710060283
Task_186,4.395887,-0.07852544931889113
Task_187,1.2260597,0.3366217789105022
Task_188,1.7816849,-0.0153739927161639
Task_189,1.3319955,0.17162668924261335
Task_190,1.5862037,0.1623442528589634
Task_191,3.6223948,0.40768209076360845
Task_192,6.4646053,0.4108263104224193
Task_193,0.84492046,0.35884559698365165
Task_194,1.4500767,0.4815332010639506
Task_195,3.1941688,0.42945034570670154
Task_196,4.6151285,0.3853157188606228
Task_197,0.36912552,0.3592266018659547
Task_198,2.617658,0.6194979014261901
Task_199,2.4158967,0.5737427926854813
Task_200,1.1420512,0.5308670832847565
