UniProt_ID	gene name
O15392	BIRC5
O43639	NCK2
Q14160	SCRIB
O75581	LRP6
Q61091	Not Found
P20265	POU3F2
P56693	SOX10
P23760	PAX3
O60566	BUB1B
P29972	AQP1
P17302	GJA1
Q9UNE0	EDAR
Q92838	EDA
P18265	Not Found
P05132	Not Found
P33279	Not Found
Q16543	CDC37
P11500	Not Found
Q9UBF9	MYOT
O75356	ENTPD5
Q16849	PTPRN
Q63259	Not Found
Q498T0	Not Found
O54960	Not Found
P48551	IFNAR2
Q28619	Not Found
P07550	ADRB2
Q9H074	PAIP1
P13569	CFTR
Q5T2W1	PDZK1
Q9JIL4	Not Found
O08816	Not Found
"chebi:""CHEBI:18348"""	Not Found
Q9EPM5	Not Found
P0C1Y9	Not Found
Q5SXM2	SNAPC4
Q16533	SNAPC1
P01009	SERPINA1
P61088	UBE2N
P07992	ERCC1
O15446	CD3EAP
Q9HCN4	GPN1
Q9QUI0	Not Found
P70338	Not Found
O54714	Not Found
Q99684	GFI1
Q9NPI8	FANCF
O15287	FANCG
P35568	IRS1
Q9Y5K6	CD2AP
P05230	FGF1
Q9HB90	RRAGC
Q7L523	RRAGA
Q5VZM2	RRAGB
Q9NQL2	RRAGD
Q9UMX0	UBQLN1
O14933	UBE2L6
O60260	PARK2
P16109	SELP
P97887	Not Found
P55210	CASP7
Q92932	PTPRN2
Q9HC29	NOD2
P30680	Not Found
P37108	SRP14
P49187	Not Found
P29067	Not Found
Q9GZX5	ZNF350
P19878	NCF2
Q7L590	MCM10
P97311	Not Found
Q13416	ORC2
Q13309	SKP2
Q8JSK4	Not Found
P63158	Not Found
Q8WZ42	TTN
P12814	ACTN1
G3V8A5	Not Found
O60749	SNX2
Q96QK1	VPS35
Q13596	SNX1
O75436	VPS26A
Q9UBQ0	VPS29
Q6AY86	Not Found
Q9H190	SDCBP2
O00560	SDCBP
P78504	JAG1
P30408	TM4SF1
P10288	Not Found
P15116	Not Found
Q15788	NCOA1
Q9EQC9	Not Found
Q9WVB9	Not Found
Q60674	Not Found
Q9HCD5	NCOA5
Q9NPF7	IL23A
Q9EQ14	Not Found
P43432	Not Found
P42701	IL12RB1
Q60837	Not Found
P62262	Not Found
Q9GZV5	WWTR1
Q01196	RUNX1
Q13227	GPS2
P06428	Not Found
Q9Y624	F11R
P0DOJ9	Not Found
Q24338	Not Found
P42124	Not Found
Q24572	Not Found
Q94517	Not Found
O75530	EED
Q9H211	CDT1
O75496	GMNN
O14924	RGS12
O94875	SORBS2
Q91YD9	Not Found
Q9Y6W5	WASF2
Q9HB97	Not Found
Q51451	Not Found
P62314	SNRPD1
P62318	SNRPD3
P62324	BTG1
P78543	BTG2
Q9UIV1	CNOT7
Q63787	Not Found
P48736	PIK3CG
Q96CV9	OPTN
P61007	Not Found
Q9NR28	DIABLO
P11325	Not Found
P03879	Not Found
P35268	RPL22
P17473	Not Found
Q16666	IFI16
O55164	Not Found
P28335	HTR2C
P28223	HTR2A
P41595	HTR2B
P08909	Not Found
P01040	CSTA
P43699	NKX2-1
Q9P031	CCDC59
P15941	MUC1
O35099	Not Found
Q99683	MAP3K5
P78560	CRADD
P42575	CASP2
Q9HB96	FANCE
O00401	WASL
Q9ESJ4	Not Found
O75914	PAK3
P02100	HBE1
P01942	Not Found
P68871	HBB
Q2HR71	Not Found
P33322	Not Found
P28007	Not Found
P32495	Not Found
Q6Q547	Not Found
P15646	Not Found
P62142	Not Found
Q9HAU5	UPF2
Q9BZI7	UPF3B
Q9H1J1	UPF3A
Q92900	UPF1
P74873	Not Found
Q9CZA6	Not Found
P63168	Not Found
P11983	Not Found
Q60898	Not Found
P63005	Not Found
Q9UBN4	TRPC4
O43283	MAP3K13
P0CG48	UBC
Q96QZ7	MAGI1
Q14152	EIF3A
P08729	KRT7
P62942	FKBP1A
O75461	E2F6
P35227	PCGF2
Q9QZM2	Not Found
P78344	EIF4G2
Q62696	Not Found
P52188	Not Found
P35269	GTF2F1
P01857	IGHG1
P16070	CD44
P01215	CGA
P19120	Not Found
P39019	RPS19
Q9UH92	MLX
Q9NP71	MLXIPL
